timestamp,x,y,yaw,speed,target_speed,lateral_error,steer_cmd,accel_cmd
0.050,6.089,1.763,0.006,-0.000,2.600,0.000,0.008,2.000
0.100,6.089,1.763,0.006,0.070,2.600,-0.000,0.017,2.000
0.150,6.097,1.763,0.006,0.200,2.600,-0.000,0.028,2.000
0.200,6.106,1.763,0.007,0.295,2.600,-0.000,0.037,2.000
0.250,6.126,1.763,0.007,0.400,2.600,-0.000,0.045,2.000
0.300,6.143,1.763,0.007,0.480,2.600,-0.001,0.049,2.000
0.350,6.174,1.763,0.008,0.600,2.600,-0.001,0.050,2.000
0.400,6.199,1.763,0.008,0.690,2.600,-0.001,0.047,2.000
0.450,6.243,1.764,0.009,0.800,2.600,-0.002,0.041,2.000
0.500,6.276,1.764,0.010,0.885,2.600,-0.002,0.032,2.000
0.550,6.332,1.764,0.012,1.000,2.600,-0.002,0.019,2.000
0.600,6.372,1.764,0.013,1.075,2.600,-0.003,0.005,2.000
0.650,6.440,1.765,0.015,1.200,2.600,-0.003,-0.011,2.000
0.700,6.489,1.765,0.016,1.285,2.600,-0.003,-0.027,2.000
0.750,6.569,1.766,0.019,1.400,2.600,-0.003,-0.044,2.000
0.800,6.626,1.767,0.020,1.485,2.600,-0.003,-0.059,2.000
0.850,6.717,1.768,0.022,1.600,2.600,-0.003,-0.076,1.868
0.900,6.782,1.769,0.023,1.690,2.600,-0.003,-0.089,1.563
0.950,6.885,1.771,0.024,1.772,2.600,-0.002,-0.103,1.088
1.000,6.957,1.772,0.025,1.826,2.600,-0.002,-0.114,0.583
1.050,7.067,1.774,0.026,1.855,2.600,-0.001,-0.124,0.029
1.100,7.142,1.776,0.027,1.857,2.600,0.006,-0.156,1.953
1.150,7.255,1.778,0.027,1.954,2.600,0.007,-0.172,2.000
1.200,7.334,1.780,0.027,2.044,2.600,0.008,-0.177,2.000
1.250,7.459,1.782,0.026,2.154,2.600,0.010,-0.175,2.000
1.300,7.546,1.784,0.025,2.249,2.600,0.011,-0.168,2.000
1.350,7.683,1.786,0.023,2.354,2.600,0.013,-0.155,2.000
1.400,7.778,1.788,0.022,2.444,2.600,0.014,-0.141,2.000
1.450,7.927,1.790,0.019,2.554,2.600,0.015,-0.122,1.880
1.500,8.030,1.791,0.017,2.600,2.600,0.015,-0.103,1.580
1.550,8.186,1.793,0.014,2.600,2.600,0.016,-0.081,1.133
1.600,8.290,1.793,0.011,2.600,2.600,0.016,-0.060,0.664
1.650,8.446,1.794,0.008,2.600,2.600,0.015,-0.036,0.101
1.700,8.550,1.794,0.005,2.600,2.600,0.015,-0.014,-0.445
1.750,8.705,1.793,0.002,2.578,2.600,0.013,0.011,-1.033
1.800,8.808,1.793,-0.000,2.526,2.600,0.012,0.033,-1.528
1.850,8.958,1.792,-0.003,2.450,2.600,0.010,0.058,-2.003
1.900,9.055,1.790,-0.005,2.355,2.600,0.008,0.079,-2.357
1.950,9.194,1.789,-0.007,2.232,2.600,0.005,0.099,0.386
2.000,9.283,1.787,-0.009,2.251,2.600,0.004,0.114,1.740
2.050,9.420,1.785,-0.010,2.338,2.600,0.001,0.127,2.000
2.100,9.514,1.784,-0.011,2.423,2.600,-0.002,0.135,2.000
2.150,9.662,1.781,-0.012,2.538,2.600,-0.005,0.142,2.000
2.200,9.765,1.779,-0.012,2.600,2.600,-0.008,0.145,2.000
2.250,9.921,1.776,-0.012,2.600,2.600,-0.012,0.147,1.833
2.300,10.025,1.774,-0.012,2.600,2.600,-0.014,0.147,1.556
2.350,10.181,1.772,-0.011,2.600,2.600,-0.018,0.144,1.125
2.400,10.285,1.770,-0.010,2.600,2.600,-0.020,0.140,0.668
2.450,10.441,1.767,-0.008,2.600,2.600,-0.024,0.131,0.112
2.500,10.545,1.766,-0.007,2.600,2.600,-0.026,0.123,-0.429
2.550,10.700,1.764,-0.005,2.579,2.600,-0.029,0.110,-1.014
2.600,10.802,1.763,-0.003,2.528,2.600,-0.031,0.097,-1.509
2.650,10.952,1.762,-0.001,2.452,2.600,-0.033,0.081,-1.985
2.700,11.049,1.761,0.001,2.353,2.600,-0.034,0.067,-2.334
2.750,11.189,1.760,0.004,2.236,2.600,-0.036,0.049,0.401
2.800,11.278,1.760,0.005,2.256,2.600,-0.036,0.032,1.747
2.850,11.416,1.760,0.008,2.344,2.600,-0.037,0.013,2.000
2.900,11.510,1.761,0.010,2.439,2.600,-0.038,-0.004,2.000
2.950,11.659,1.761,0.013,2.544,2.600,-0.038,-0.024,2.000
3.000,11.761,1.762,0.015,2.600,2.600,-0.038,-0.041,2.000
3.050,11.917,1.763,0.017,2.600,2.600,-0.037,-0.060,1.838
3.100,12.021,1.765,0.019,2.600,2.600,-0.037,-0.075,1.566
3.150,12.177,1.767,0.021,2.600,2.600,-0.036,-0.091,1.137
3.200,12.281,1.768,0.022,2.600,2.600,-0.035,-0.104,0.682
3.250,12.437,1.771,0.023,2.600,2.600,-0.033,-0.116,0.128
3.300,12.541,1.773,0.024,2.600,2.600,-0.032,-0.126,-0.413
3.350,12.697,1.775,0.024,2.579,2.600,-0.030,-0.133,-0.999
3.400,12.799,1.777,0.025,2.529,2.600,-0.029,-0.139,-1.495
3.450,12.949,1.780,0.024,2.455,2.600,-0.027,-0.143,-1.973
3.500,13.046,1.782,0.024,2.356,2.600,-0.026,-0.145,-2.325
3.550,13.185,1.784,0.023,2.240,2.600,-0.025,-0.142,0.407
3.600,13.275,1.786,0.022,2.260,2.600,-0.024,-0.136,1.750
3.650,13.413,1.788,0.021,2.348,2.600,-0.023,-0.124,2.000
3.700,13.508,1.789,0.019,2.443,2.600,-0.022,-0.112,2.000
3.750,13.656,1.791,0.017,2.548,2.600,-0.021,-0.094,2.000
3.800,13.759,1.792,0.015,2.600,2.600,-0.021,-0.078,2.000
3.850,13.915,1.793,0.012,2.600,2.600,-0.021,-0.059,1.842
3.900,14.019,1.793,0.010,2.600,2.600,-0.021,-0.041,1.571
3.950,14.175,1.794,0.007,2.600,2.600,-0.021,-0.020,1.144
4.000,14.279,1.794,0.005,2.600,2.600,-0.022,-0.002,0.690
4.050,14.435,1.793,0.002,2.600,2.600,-0.024,0.019,0.136
4.100,14.539,1.793,0.001,2.600,2.600,-0.025,0.036,-0.404
4.151,14.694,1.792,-0.002,2.580,2.600,-0.027,0.056,-0.990
4.200,14.797,1.791,-0.003,2.530,2.600,-0.028,0.072,-1.487
4.250,14.947,1.789,-0.005,2.456,2.600,-0.031,0.090,-1.965
4.300,15.044,1.788,-0.006,2.358,2.600,-0.033,0.104,-2.319
4.350,15.183,1.786,-0.008,2.242,2.600,-0.036,0.117,0.298
4.400,15.273,1.785,-0.008,2.257,2.600,-0.038,0.125,1.640
4.450,15.410,1.783,-0.009,2.339,2.600,-0.040,0.130,2.000
4.500,15.505,1.781,-0.009,2.429,2.600,-0.042,0.132,2.000
4.550,15.653,1.779,-0.008,2.539,2.600,-0.046,0.131,2.000
4.600,15.755,1.778,-0.008,2.600,2.600,-0.048,0.128,1.962
4.650,15.911,1.775,-0.007,2.600,2.600,-0.051,0.122,1.693
4.700,16.015,1.774,-0.006,2.600,2.600,-0.053,0.116,1.347
4.750,16.171,1.772,-0.004,2.600,2.600,-0.056,0.106,0.868
4.800,16.275,1.771,-0.003,2.600,2.600,-0.057,0.096,0.379
4.850,16.431,1.770,-0.001,2.600,2.600,-0.060,0.083,-0.199
4.900,16.535,1.769,0.001,2.590,2.600,-0.061,0.070,-0.743
4.950,16.689,1.769,0.003,2.553,2.600,-0.063,0.054,-1.308
5.000,16.791,1.768,0.005,2.488,2.600,-0.064,0.040,-1.768
5.050,16.938,1.768,0.007,2.399,2.600,-0.065,0.022,-2.200
5.100,17.033,1.768,0.009,2.299,2.600,-0.065,0.006,-2.515
5.150,17.168,1.769,0.011,2.163,2.600,-0.065,-0.010,0.243
5.200,17.255,1.769,0.012,2.176,2.600,-0.066,-0.023,1.643
5.250,17.387,1.770,0.014,2.258,2.600,-0.065,-0.038,2.000
5.300,17.478,1.771,0.015,2.338,2.600,-0.065,-0.049,2.000
5.350,17.621,1.772,0.017,2.458,2.600,-0.065,-0.061,2.000
5.400,17.721,1.774,0.018,2.553,2.600,-0.064,-0.071,1.975
5.450,17.875,1.776,0.020,2.600,2.600,-0.063,-0.081,1.657
5.500,17.979,1.777,0.020,2.600,2.600,-0.063,-0.089,1.278
5.550,18.135,1.779,0.021,2.600,2.600,-0.061,-0.096,0.776
5.600,18.239,1.781,0.021,2.600,2.600,-0.060,-0.102,0.271
5.650,18.395,1.783,0.022,2.600,2.600,-0.059,-0.106,-0.317
5.700,18.499,1.785,0.022,2.584,2.600,-0.058,-0.108,-0.861
5.750,18.653,1.787,0.021,2.541,2.600,-0.057,-0.109,-1.418
5.800,18.753,1.788,0.021,2.470,2.600,-0.056,-0.108,-1.865
5.850,18.900,1.790,0.020,2.377,2.600,-0.055,-0.106,-2.279
5.900,18.994,1.792,0.019,2.277,2.600,-0.054,-0.103,-2.582
5.950,19.127,1.793,0.018,2.134,2.600,-0.054,-0.096,0.459
6.000,19.213,1.794,0.017,2.157,2.600,-0.053,-0.086,1.887
6.050,19.344,1.795,0.015,2.251,2.600,-0.053,-0.073,2.000
6.100,19.435,1.796,0.013,2.341,2.600,-0.053,-0.059,2.000
6.150,19.578,1.797,0.011,2.451,2.600,-0.053,-0.042,2.000
6.200,19.677,1.797,0.010,2.551,2.600,-0.053,-0.027,2.000
6.250,19.831,1.798,0.007,2.600,2.600,-0.054,-0.009,1.972
6.300,19.935,1.798,0.005,2.600,2.600,-0.054,0.007,1.791
6.350,20.091,1.797,0.003,2.600,2.600,-0.056,0.024,1.425
6.400,20.195,1.797,0.002,2.600,2.600,-0.057,0.039,1.013
6.450,20.351,1.796,-0.000,2.600,2.600,-0.059,0.054,0.488
6.500,20.455,1.795,-0.002,2.600,2.600,-0.060,0.067,-0.033
6.550,20.611,1.794,-0.003,2.598,2.600,-0.063,0.080,-0.630
6.600,20.714,1.793,-0.004,2.567,2.600,-0.064,0.091,-1.159
6.650,20.867,1.791,-0.005,2.509,2.600,-0.067,0.101,-1.684
6.700,20.966,1.790,-0.006,2.425,2.600,-0.069,0.108,-2.091
6.750,21.110,1.788,-0.006,2.320,2.600,-0.071,0.115,0.552
6.800,21.203,1.787,-0.006,2.348,2.600,-0.073,0.117,1.817
6.850,21.346,1.785,-0.006,2.439,2.600,-0.076,0.117,2.000
6.900,21.444,1.784,-0.005,2.529,2.600,-0.078,0.114,2.000
6.950,21.598,1.782,-0.004,2.600,2.600,-0.080,0.108,2.000
7.000,21.702,1.781,-0.003,2.600,2.600,-0.082,0.102,2.000
7.050,21.858,1.780,-0.002,2.600,2.600,-0.084,0.092,1.931
7.100,21.962,1.779,-0.000,2.600,2.600,-0.086,0.083,1.723
7.150,22.118,1.778,0.002,2.600,2.600,-0.088,0.070,1.337
7.200,22.222,1.778,0.003,2.600,2.600,-0.089,0.059,0.912
7.250,22.378,1.777,0.005,2.600,2.600,-0.090,0.044,0.378
7.300,22.482,1.777,0.007,2.600,2.600,-0.091,0.030,-0.149
7.350,22.637,1.778,0.009,2.593,2.600,-0.092,0.014,-0.742
7.400,22.740,1.778,0.010,2.555,2.600,-0.092,-0.001,-1.261
7.450,22.892,1.779,0.013,2.492,2.600,-0.092,-0.018,-1.772
7.500,22.991,1.779,0.014,2.404,2.600,-0.092,-0.033,-2.162
7.550,23.133,1.781,0.016,2.296,2.600,-0.092,-0.046,0.508
7.600,23.225,1.782,0.017,2.321,2.600,-0.092,-0.056,1.796
7.650,23.366,1.783,0.018,2.411,2.600,-0.091,-0.066,2.000
7.700,23.464,1.784,0.019,2.501,2.600,-0.090,-0.073,2.000
7.750,23.616,1.786,0.020,2.600,2.600,-0.089,-0.079,2.000
7.800,23.720,1.788,0.020,2.600,2.600,-0.089,-0.085,2.000
7.850,23.876,1.790,0.021,2.600,2.600,-0.087,-0.089,1.903
7.900,23.980,1.791,0.021,2.600,2.600,-0.087,-0.092,1.675
