time,cte,he,steering,h,clf_alpha,steering_kp
1782557460.89558,23.8124,-0.0650,0.0817,20.0812,0.1000,1.4000
1782557461.0427861,20.4067,-0.1277,0.0334,20.2641,0.1000,1.4000
1782557461.1790347,18.1495,-0.1619,0.0334,20.6061,0.1000,1.4000
1782557461.3296137,17.1816,-0.1689,0.0334,21.4868,0.1000,1.4000
1782557461.4721687,16.3402,-0.1729,-0.0186,20.7395,0.1000,1.4000
1782557461.5934825,15.1888,-0.1831,0.0297,20.5538,0.1000,1.4000
1782557461.7323694,15.5059,-0.1640,0.0446,19.9424,0.1000,1.4000
1782557461.877473,14.6174,-0.1580,-0.0520,20.2966,0.1000,1.4000
1782557462.026719,13.9060,-0.1606,0.0037,19.8688,0.1000,1.4000
1782557462.1899993,13.3705,-0.1490,0.0037,18.9369,0.1000,1.4000
1782557462.3512235,13.1147,-0.1432,-0.0223,18.4656,0.1000,1.4000
1782557462.5725975,12.8918,-0.1277,-0.0409,18.6043,0.1000,1.4000
1782557462.7201395,12.8518,-0.1093,-0.0780,18.1966,0.1000,1.4000
1782557462.8771224,12.7602,-0.1006,0.1263,17.4715,0.1000,1.4000
1782557463.0210457,12.6644,-0.0848,-0.1374,17.5125,0.1000,1.4000
1782557463.1866496,11.8687,-0.0841,-0.1783,17.7586,0.1000,1.4000
1782557463.3225172,11.4805,-0.0822,-0.1374,17.2333,0.1000,1.4000
1782557463.4749055,7.4483,-0.1482,-0.1560,17.0269,0.1000,1.4000
1782557463.6276863,11.4241,-0.0577,-0.2080,16.8889,0.1000,1.4000
1782557463.7996736,-11.2672,-0.1554,0.2154,16.7700,0.1000,1.4000
1782557463.9572916,-49.0126,0.1548,-1.3000,15.0679,0.1000,1.4000
1782557464.095058,-65.4738,0.1241,1.3000,8.5653,0.1000,1.4000
1782557464.232283,-6.5552,0.9272,1.3000,6.3850,0.1000,1.4000
1782557464.3644197,-46.7285,0.4270,1.3000,5.6638,0.1000,1.4000
1782557464.5206501,-49.4983,0.3531,1.3000,4.7964,0.1000,1.4000
1782557464.6533017,-12.0955,0.8221,1.3000,6.1990,0.1000,1.4000
1782557464.8066723,-9.5533,0.8089,1.3000,6.1282,0.1000,1.4000
1782557464.9521687,-17.8087,0.6964,-1.3000,10.9994,0.1000,1.4000
1782557465.1895227,-59.0454,0.0425,-0.5794,10.6084,0.1000,1.4000
1782557465.3431866,-24.6528,0.5021,-1.3000,7.1575,0.1000,1.4000
1782557465.4899838,-18.2000,0.5471,1.3000,2.6928,0.1000,1.4000
1782557465.6270218,-17.5429,0.5033,1.3000,2.2894,0.1000,1.4000
1782557465.8190906,-22.4506,0.3681,-1.3000,5.6500,0.1000,1.4000
1782557465.9701025,21.3410,1.0389,1.3000,1.8997,0.1000,1.4000
1782557466.1139143,16.5529,0.9299,-0.9769,4.5647,0.1000,1.4000
1782557466.2745323,7.0291,0.7372,-1.3000,4.6568,0.1000,1.4000
1782557466.4070418,-28.2105,0.0520,-1.3000,4.5369,0.1000,1.4000
1782557466.5513227,-27.9986,0.0212,-1.3000,4.2938,0.1000,1.4000
1782557466.679584,-26.3627,0.0228,1.3000,2.4763,0.1000,1.4000
1782557466.835524,6.0608,0.6313,1.3000,2.0437,0.1000,1.4000
1782557466.993217,-1.1244,0.4583,1.1514,2.6280,0.1000,1.4000
1782557467.1346056,-3.2086,0.4200,1.2629,2.5761,0.1000,1.4000
1782557467.2705388,-29.3264,-0.1314,-1.0586,3.2481,0.1000,1.4000
1782557467.4315586,-1.3727,0.4056,-1.2517,3.0745,0.1000,1.4000
1782557467.580946,-4.6931,0.3454,-1.3000,2.9692,0.1000,1.4000
1782557467.7196927,-29.0427,-0.1732,1.2554,2.3772,0.1000,1.4000
1782557467.8653848,-26.9399,-0.1369,-1.3000,2.8538,0.1000,1.4000
1782557467.9948514,-26.4788,-0.1468,1.2777,2.1775,0.1000,1.4000
1782557468.133799,2.7495,0.4495,1.2963,1.9188,0.1000,1.4000
1782557468.2813349,3.7013,0.4365,1.2480,1.8281,0.1000,1.4000
1782557468.4247448,4.9527,0.4602,1.3000,1.6959,0.1000,1.4000
1782557468.5670743,4.8643,0.4250,-1.3000,2.2754,0.1000,1.4000
1782557468.7052867,-22.6021,-0.1535,-1.2777,2.1359,0.1000,1.4000
1782557468.8784692,-23.9493,-0.1867,0.8914,1.6934,0.1000,1.4000
