time,cte,he,steering,h,clf_alpha,steering_kp
1782659014.205348,0.0000,0.0000,0.0000,6.8203,0.2700,3.8420
1782659014.3368053,0.0000,0.0000,0.0000,6.8203,0.2700,3.8420
1782659014.4937024,0.0000,0.0000,0.0000,6.8203,0.2700,3.8420
1782659014.6441758,0.0000,0.0000,0.0000,6.8203,0.2700,3.8420
1782659014.8016896,0.0000,0.0000,0.0000,6.1831,0.2700,3.8420
1782659014.921662,0.0000,0.0000,0.0000,5.9268,0.2700,3.8420
1782659015.0819778,0.0000,0.0000,0.0000,5.5762,0.2700,3.8420
1782659015.2275412,0.0000,0.0000,0.0000,5.5762,0.2700,3.8420
1782659015.377001,0.0000,0.0000,0.0000,4.7031,0.2700,3.8420
1782659015.525734,0.0000,0.0000,0.0000,5.0863,0.2700,3.8420
1782659015.6695693,0.0000,0.0000,0.0000,4.4185,0.2700,3.8420
1782659015.7872486,0.0000,0.0000,0.0000,4.2419,0.2700,3.8420
1782659015.9306855,0.0000,0.0000,0.0000,3.9615,0.2700,3.8420
1782659016.15525,0.0000,0.0000,0.0000,3.7408,0.2700,3.8420
1782659016.3068094,0.0000,0.0000,0.0000,3.4219,0.2700,3.8420
1782659016.4347703,0.0000,0.0000,0.0000,2.9962,0.2700,3.8420
1782659016.59742,0.0000,0.0000,0.0000,2.9962,0.2700,3.8420
1782659016.7229602,0.0000,0.0000,0.0000,2.6552,0.2700,3.8420
1782659016.877984,0.0000,0.0000,0.0000,2.6552,0.2700,3.8420
1782659017.036413,0.0000,0.0000,0.0000,2.3788,0.2700,3.8420
1782659017.1829255,0.0000,0.0000,0.0000,2.1524,0.2700,3.8420
1782659017.3304014,0.0000,0.0000,0.0000,1.9931,0.2700,3.8420
1782659017.4794667,0.0000,0.0000,0.0000,1.8106,0.2700,3.8420
1782659017.6494033,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659017.7880776,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659017.9320931,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659018.0841296,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659018.2221692,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659018.3626604,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659018.5010343,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659018.622657,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659018.8473287,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659019.022063,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659019.1874535,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659019.351919,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659019.5025575,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659019.733292,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659019.8756557,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659020.038225,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659020.2023494,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659020.3257143,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
1782659020.4702008,0.0000,0.0000,0.0000,1.6815,0.2700,3.8420
