time,cte,he,steering,h,clf_alpha,steering_kp
1782557403.3039336,0.1149,0.0018,0.0000,0.9654,0.2700,3.8420
1782557403.4691129,-0.0019,-0.0009,-0.0037,0.9675,0.2700,3.8420
1782557403.6473324,-0.0270,-0.0014,0.0037,0.9674,0.2700,3.8420
1782557403.802051,-0.0369,-0.0014,0.0000,0.9661,0.2700,3.8420
1782557404.0036285,-0.0468,-0.0014,0.0000,0.9648,0.2700,3.8420
1782557404.1335309,-0.0517,-0.0014,0.0000,0.9638,0.2700,3.8420
1782557404.2768946,-0.0615,-0.0014,0.0000,0.9628,0.2700,3.8420
1782557404.4648397,-0.0714,-0.0014,0.0000,0.9617,0.2700,3.8420
1782557404.64669,-0.0812,-0.0014,0.0000,0.9604,0.2700,3.8420
1782557404.7927313,-0.0861,-0.0014,0.0000,0.9594,0.2700,3.8420
1782557404.9293256,-0.0960,-0.0014,0.0000,0.9582,0.2700,3.8420
1782557405.0893834,-0.1059,-0.0014,0.0000,0.9573,0.2700,3.8420
1782557405.2462735,-0.1108,-0.0014,0.0000,0.9562,0.2700,3.8420
1782557405.3793247,-0.1158,-0.0014,0.0000,0.9551,0.2700,3.8420
1782557405.5357604,-0.0318,0.0006,0.0000,0.9545,0.2700,3.8420
1782557405.691399,-0.0278,0.0006,0.0000,0.9550,0.2700,3.8420
1782557405.8640292,-0.0237,0.0006,0.0000,0.9554,0.2700,3.8420
1782557405.9983127,-19.8289,0.4240,-0.1560,0.6896,0.2700,3.8420
1782557406.2012548,-10.5421,0.9076,-0.2414,0.0419,0.2700,3.8420
1782557406.3811529,-31.8689,0.7088,1.3000,-0.3344,0.2700,3.8420
1782557406.582008,46.2432,1.5674,-1.3000,1.3292,0.2700,3.8420
1782557406.7622242,34.3750,1.4038,-1.3000,2.4238,0.2700,3.8420
1782557406.8965545,-32.7651,0.5610,1.2963,1.0051,0.2700,3.8420
1782557407.0640326,16.9583,1.1799,1.2740,1.9053,0.2700,3.8420
1782557407.2330563,19.3252,1.1843,1.3000,2.5041,0.2700,3.8420
1782557407.3738415,-23.3383,0.5612,-1.1031,6.3135,0.2700,3.8420
1782557407.543466,-17.8390,0.5822,-1.1291,6.9670,0.2700,3.8420
1782557407.7387571,12.7584,0.9605,0.7503,5.3119,0.2700,3.8420
1782557407.926878,-10.2603,0.5713,0.6500,6.1159,0.2700,3.8420
1782557408.254761,-20.0360,0.3232,0.6091,6.2176,0.2700,3.8420
1782557408.3681488,18.5778,0.9619,-0.6871,12.6991,0.2700,3.8420
1782557408.5470927,4.6517,0.6446,-0.3454,12.2949,0.2700,3.8420
1782557408.724481,1.6439,0.5586,-0.0929,12.7102,0.2700,3.8420
1782557408.8968527,0.5224,0.4728,0.0111,13.3937,0.2700,3.8420
1782557409.0220208,-0.0996,0.4307,-0.0223,14.5067,0.2700,3.8420
1782557409.207531,1.0038,0.3955,0.0334,15.0897,0.2700,3.8420
1782557409.381536,-0.0598,0.3486,-0.0074,16.6814,0.2700,3.8420
1782557409.5755024,0.5627,0.3136,0.0260,17.7780,0.2700,3.8420
1782557409.760076,0.3915,0.2684,-0.0186,19.0275,0.2700,3.8420
1782557409.9237351,0.0508,0.2250,0.0297,19.6840,0.2700,3.8420
1782557410.1120372,0.5239,0.2027,0.0149,20.5559,0.2700,3.8420
1782557410.2719476,0.0027,0.1776,0.0223,21.2161,0.2700,3.8420
1782557410.4841611,0.3294,0.1474,0.0223,22.6465,0.2700,3.8420
1782557410.6588683,0.0278,0.1305,0.0000,23.7322,0.2700,3.8420
1782557410.8660817,-0.0708,0.1185,0.0000,24.3616,0.2700,3.8420
1782557411.0140846,-0.0708,0.1185,0.0000,25.2345,0.2700,3.8420
1782557411.1641026,-0.0708,0.1185,0.0000,25.5250,0.2700,3.8420
1782557411.30191,-0.0708,0.1185,0.0000,26.5442,0.2700,3.8420
1782557411.4629793,-0.0708,0.1185,0.0000,26.8272,0.2700,3.8420
1782557411.6180947,-0.0708,0.1185,0.0000,28.1240,0.2700,3.8420
1782557411.8143888,66.3606,-0.6945,0.8580,16.3280,0.2700,3.8420
1782557411.9647825,-45.7314,-1.5407,-1.3000,26.0088,0.2700,3.8420
1782557412.149559,101.9215,-0.7155,-1.3000,23.4230,0.2700,3.8420
1782557412.458328,-93.7113,-1.8402,0.2451,24.8589,0.2700,3.8420
1782557412.6558487,-12.7616,-1.3587,-1.3000,22.6386,0.2700,3.8420
1782557412.8348687,-77.1362,-1.7490,1.3000,22.2553,0.2700,3.8420
1782557412.9888165,-83.6708,-1.8050,1.3000,23.2453,0.2700,3.8420
1782557413.1947596,-36.6845,-1.4897,-1.3000,19.5321,0.2700,3.8420
1782557413.3650866,-109.3822,-2.0354,1.0623,25.9394,0.2700,3.8420
1782557413.5419664,-110.2384,-2.0600,-1.3000,20.3757,0.2700,3.8420
1782557413.7222195,-22.5212,-1.3531,1.2666,27.3478,0.2700,3.8420
1782557413.8378444,-0.0072,-1.1811,1.3000,26.9360,0.2700,3.8420
1782557413.975378,-54.9545,-1.5993,1.3000,24.4666,0.2700,3.8420
1782557414.1438017,34.7419,-0.8915,1.3000,25.0713,0.2700,3.8420
1782557414.3059142,40.2349,-0.8319,-1.3000,27.2972,0.2700,3.8420
1782557414.4833188,30.8768,-0.8997,1.3000,24.6402,0.2700,3.8420
1782557414.6596725,-10.5203,-1.2453,1.3000,20.2379,0.2700,3.8420
1782557414.835738,-21.9709,-1.3384,-1.3000,25.2986,0.2700,3.8420
1782557414.9941154,77.8139,-0.2744,1.3000,15.9009,0.2700,3.8420
1782557415.1760418,9.3530,-0.9913,0.5497,20.8779,0.2700,3.8420
1782557415.5699022,20.1963,-0.8568,0.8394,17.9158,0.2700,3.8420
1782557415.7198792,54.5508,-0.4296,-1.3000,21.5910,0.2700,3.8420
1782557415.9142807,-1.1103,-1.0456,1.3000,17.2882,0.2700,3.8420
1782557416.0563407,-34.2582,-1.4068,-1.3000,19.1227,0.2700,3.8420
1782557416.248083,7.7495,-0.8608,-1.3000,18.0802,0.2700,3.8420
1782557416.3920274,-32.1562,-1.3714,-1.3000,19.5746,0.2700,3.8420
1782557416.55241,-30.1709,-1.3178,1.0029,21.3072,0.2700,3.8420
1782557416.7040412,19.4103,-0.5790,1.0994,22.5311,0.2700,3.8420
1782557416.8470883,25.3826,-0.4425,1.0920,21.6850,0.2700,3.8420
1782557417.0100071,18.5494,-0.4980,0.7837,22.1607,0.2700,3.8420
1782557417.1505384,-10.3468,-0.9060,-0.3826,22.6582,0.2700,3.8420
1782557417.273726,-16.7734,-0.9930,0.8914,21.2998,0.2700,3.8420
1782557417.4798157,8.0956,-0.5061,-0.4903,22.9052,0.2700,3.8420
1782557417.6141837,-5.9682,-0.7081,-0.2823,22.4517,0.2700,3.8420
1782557417.767487,-1.0702,-0.5905,0.0743,22.5887,0.2700,3.8420
1782557417.9431982,-0.7750,-0.5166,0.0260,22.2043,0.2700,3.8420
1782557418.1345127,-1.7573,-0.4723,0.0111,22.4209,0.2700,3.8420
1782557418.2884693,-0.8311,-0.4257,0.0334,23.0916,0.2700,3.8420
1782557418.4386854,0.1167,-0.3786,0.0111,22.3338,0.2700,3.8420
1782557418.6155345,-0.6098,-0.3418,0.0260,22.7669,0.2700,3.8420
1782557418.760835,-0.0477,-0.2854,-0.0520,22.5288,0.2700,3.8420
1782557418.928162,0.0127,-0.2635,-0.0186,22.5670,0.2700,3.8420
1782557419.1173337,-0.4822,-0.2365,0.0186,22.5955,0.2700,3.8420
1782557419.2574275,-16.9257,0.1060,-0.2191,21.4356,0.2700,3.8420
1782557419.4296794,-9.6510,0.8555,-0.1449,11.8628,0.2700,3.8420
1782557419.567368,-9.8523,0.8958,0.1709,9.2073,0.2700,3.8420
1782557419.7303228,-31.0261,0.6370,-1.3000,11.8048,0.2700,3.8420
1782557419.901439,39.0300,1.4543,1.3000,6.0132,0.2700,3.8420
1782557420.0828204,56.8147,1.7077,1.3000,5.6532,0.2700,3.8420
1782557420.2415202,-14.1274,0.7372,-1.1031,8.0300,0.2700,3.8420
1782557420.4107244,-29.6436,0.4584,1.1031,4.3469,0.2700,3.8420
1782557420.590789,-19.1396,0.5363,1.3000,4.0953,0.2700,3.8420
1782557420.738502,17.5629,1.0358,1.0103,4.2134,0.2700,3.8420
1782557420.9192612,-7.2469,0.6204,0.5646,4.7663,0.2700,3.8420
1782557421.054833,4.6085,0.7717,0.2786,4.8041,0.2700,3.8420
1782557421.2350078,-0.8446,0.6446,0.0557,4.8042,0.2700,3.8420
1782557421.373807,2.5494,0.6299,0.1263,4.2703,0.2700,3.8420
1782557421.5341606,1.2756,0.5739,0.0743,4.1959,0.2700,3.8420
1782557421.6807432,-0.1514,0.5136,0.0260,3.8440,0.2700,3.8420
1782557421.8421335,-0.3026,0.4467,0.0817,3.5750,0.2700,3.8420
1782557422.0111444,-0.1744,0.4185,-0.0186,3.4114,0.2700,3.8420
1782557422.1760457,-0.4063,0.3588,-0.0446,3.1872,0.2700,3.8420
